# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
CDK11B	CDK11B	NM_033486.3	NP_277021.2
SLC35E2B	SLC35E2B	NM_001290264.2	NP_001277193.1
CDK11A	CDK11A	NM_024011.4	NP_076916.2
NADK	NADK	NM_023018.5	NP_075394.3
GNB1	GNB1	NM_002074.5	NP_002065.1
CALML6	CALML6	NM_138705.4	NP_619650.2
TMEM52	TMEM52	NM_178545.4	NP_848640.1
CFAP74	CFAP74	NM_001304360.2	NP_001291289.1
GABRD	GABRD	NM_000815.5	NP_000806.2
PRKCZ	PRKCZ	NM_002744.6	NP_002735.3
FAAP20	FAAP20	NM_182533.4	NP_872339.3
SKI	SKI	NM_003036.4	NP_003027.1
MORN1	MORN1	NM_024848.3	NP_079124.1
RER1	RER1	NM_007033.5	NP_008964.3
PEX10	PEX10	NM_002617.4	NP_002608.1
PLCH2	PLCH2	NM_014638.4	NP_055453.2
PANK4	PANK4	NM_018216.4	NP_060686.3
HES5	HES5	NM_001010926.4	NP_001010926.1
TNFRSF14	TNFRSF14	NM_003820.4	NP_003811.2
PRXL2B	PRXL2B	NM_152371.5	NP_689584.5
MMEL1	MMEL1	NM_033467.4	NP_258428.2
TTC34	TTC34	NM_001242672.3	NP_001229601.2
ACTRT2	ACTRT2	NM_080431.5	NP_536356.3
PRDM16	PRDM16	NM_022114.4	NP_071397.3
ARHGEF16	ARHGEF16	NM_014448.4	NP_055263.2
MEGF6	MEGF6	NM_001409.4	NP_001400.3
TPRG1L	TPRG1L	NM_182752.4	NP_877429.2
WRAP73	WRAP73	NM_017818.4	NP_060288.3
TP73	TP73	NM_005427.4	NP_005418.1
CCDC27	CCDC27	NM_152492.3	NP_689705.2
SMIM1	SMIM1	NM_001288583.2	NP_001275512.1
LRRC47	LRRC47	NM_020710.3	NP_065761.1
CEP104	CEP104	NM_014704.4	NP_055519.1
DFFB	DFFB	NM_004402.4	NP_004393.1
C1orf174	C1orf174	NM_207356.3	NP_997239.2
AJAP1	AJAP1	NM_018836.4	NP_061324.1
NPHP4	NPHP4	NM_015102.5	NP_055917.1
KCNAB2	KCNAB2	NM_001199862.2	NP_001186791.1
CHD5	CHD5	NM_015557.3	NP_056372.1
RPL22	RPL22	NM_000983.4	NP_000974.1
RNF207	RNF207	NM_207396.3	NP_997279.2
ICMT	ICMT	NM_012405.4	NP_036537.1
HES3	HES3	NM_001024598.4	NP_001019769.1
GPR153	GPR153	NM_207370.4	NP_997253.2
ACOT7	ACOT7	NM_007274.4	NP_009205.3
HES2	HES2	NM_019089.5	NP_061962.2
ESPN	ESPN	NM_031475.3	NP_113663.2
TNFRSF25	TNFRSF25	NM_003790.3	NP_003781.1
PLEKHG5	PLEKHG5	NM_020631.6	NP_065682.2
NOL9	NOL9	NM_024654.5	NP_078930.4
TAS1R1	TAS1R1	NM_138697.4	NP_619642.2
ZBTB48	ZBTB48	NM_005341.4	NP_005332.1
KLHL21	KLHL21	NM_014851.4	NP_055666.2
PHF13	PHF13	NM_153812.3	NP_722519.2
THAP3	THAP3	NM_001195753.2	NP_001182682.1
DNAJC11	DNAJC11	NM_018198.4	NP_060668.2
CAMTA1	CAMTA1	NM_015215.4	NP_056030.1
VAMP3	VAMP3	NM_004781.4	NP_004772.1
PER3	PER3	NM_001377275.1	NP_001364204.1
UTS2	UTS2	NM_006786.4	NP_006777.1
TNFRSF9	TNFRSF9	NM_001561.6	NP_001552.2
PARK7	PARK7	NM_007262.5	NP_009193.2
ERRFI1	ERRFI1	NM_018948.4	NP_061821.1
SLC45A1	SLC45A1	NM_001080397.3	NP_001073866.3
RERE	RERE	NM_001042681.2	NP_001036146.1
ENO1	ENO1	NM_001428.5	NP_001419.1
CA6	CA6	NM_001215.4	NP_001206.2
SLC2A7	SLC2A7	NM_207420.3	NP_997303.2
SLC2A5	SLC2A5	NM_003039.3	NP_003030.1
GPR157	GPR157	NM_024980.5	NP_079256.4
H6PD	H6PD	NM_004285.4	NP_004276.2
SPSB1	SPSB1	NM_025106.4	NP_079382.2
SLC25A33	SLC25A33	NM_032315.3	NP_115691.1
TMEM201	TMEM201	NM_001130924.3	NP_001124396.2
PIK3CD	PIK3CD	NM_005026.5	NP_005017.3
CLSTN1	CLSTN1	NM_001009566.3	NP_001009566.1
CTNNBIP1	CTNNBIP1	NM_020248.3	NP_064633.1
LZIC	LZIC	NM_032368.5	NP_115744.2
NMNAT1	NMNAT1	NM_022787.4	NP_073624.2
RBP7	RBP7	NM_052960.3	NP_443192.1
UBE4B	UBE4B	NM_001105562.3	NP_001099032.1
KIF1B	KIF1B	NM_001365951.3	NP_001352880.1
PGD	PGD	NM_002631.4	NP_002622.2
CENPS	CENPS	NM_199294.3	NP_954988.1
CORT	CORT	NM_001302.5	NP_001293.3
DFFA	DFFA	NM_004401.3	NP_004392.1
PEX14	PEX14	NM_004565.3	NP_004556.1
CASZ1	CASZ1	NM_001079843.3	NP_001073312.1
C1orf127	C1orf127	NM_001170754.2	NP_001164225.1
TARDBP	TARDBP	NM_007375.4	NP_031401.1
MASP2	MASP2	NM_006610.4	NP_006601.2
SRM	SRM	NM_003132.3	NP_003123.2
EXOSC10	EXOSC10	NM_001001998.3	NP_001001998.1
MTOR	MTOR	NM_004958.4	NP_004949.1
ANGPTL7	ANGPTL7	NM_021146.4	NP_066969.1
UBIAD1	UBIAD1	NM_013319.3	NP_037451.1
DISP3	DISP3	NM_020780.2	NP_065831.1
FBXO2	FBXO2	NM_012168.6	NP_036300.2
FBXO44	FBXO44	NM_033182.7	NP_149438.2
FBXO6	FBXO6	NM_018438.6	NP_060908.1
MAD2L2	MAD2L2	NM_006341.4	NP_006332.3
DRAXIN	DRAXIN	NM_198545.4	NP_940947.3
AGTRAP	AGTRAP	NM_020350.5	NP_065083.3
C1orf167	C1orf167	NM_001010881.2	NP_001010881.1
MTHFR	MTHFR	NM_005957.5	NP_005948.3
CLCN6	CLCN6	NM_001286.5	NP_001277.2
NPPA	NPPA	NM_006172.4	NP_006163.1
NPPB	NPPB	NM_002521.3	NP_002512.1
KIAA2013	KIAA2013	NM_138346.3	NP_612355.1
PLOD1	PLOD1	NM_000302.4	NP_000293.2
MFN2	MFN2	NM_014874.4	NP_055689.1
MIIP	MIIP	NM_021933.4	NP_068752.2
TNFRSF8	TNFRSF8	NM_001243.5	NP_001234.3
TNFRSF1B	TNFRSF1B	NM_001066.3	NP_001057.1
VPS13D	VPS13D	NM_015378.4	NP_056193.2
DHRS3	DHRS3	NM_004753.7	NP_004744.2
AADACL4	AADACL4	NM_001013630.2	NP_001013652.1
AADACL3	AADACL3	NM_001103170.3	NP_001096640.2
CFAP107	CFAP107	NM_152290.4	NP_689503.3
PRAMEF12	PRAMEF12	NM_001080830.5	NP_001074299.2
PRAMEF1	PRAMEF1	NM_023013.4	NP_075389.2
PRAMEF11	PRAMEF11	NM_001146344.3	NP_001139816.2
HNRNPCL1	HNRNPCL1	NM_001013631.3	NP_001013653.1
PRAMEF2	PRAMEF2	NM_023014.1	NP_075390.1
PRAMEF4	PRAMEF4	NM_001009611.4	NP_001009611.2
PRAMEF10	PRAMEF10	NM_001039361.4	NP_001034450.3
PRAMEF7	PRAMEF7	NM_001012277.5	NP_001012277.2
PRAMEF6	PRAMEF6	NM_001010889.2	NP_001010889.1
PRAMEF27	PRAMEF27	NM_001300891.2	NP_001287820.1
HNRNPCL3	HNRNPCL3	NM_001382358.1	NP_001369287.1
PRAMEF25	PRAMEF25	NM_001310134.3	NP_001297063.1
HNRNPCL2	HNRNPCL2	NM_001136561.3	NP_001130033.3
PRAMEF26	PRAMEF26	NM_001306072.3	NP_001293001.1
HNRNPCL4	HNRNPCL4	NM_001302551.2	NP_001289480.1
PRAMEF9	PRAMEF9	NM_001010890.3	NP_001010890.2
PRAMEF13	PRAMEF13	NM_001291380.1	NP_001278309.1
PRAMEF18	PRAMEF18	NM_001099850.2	NP_001093320.2
PRAMEF5	PRAMEF5	NM_001013407.5	NP_001013425.2
PRAMEF8	PRAMEF8	NM_001012276.3	NP_001012276.2
PRAMEF33	PRAMEF33	NM_001291381.1	NP_001278310.1
PRAMEF15	PRAMEF15	NM_001098376.3	NP_001091846.1
PRAMEF14	PRAMEF14	NM_001024661.2	NP_001019832.2
PRAMEF19	PRAMEF19	NM_001099790.5	NP_001093260.3
PRAMEF17	PRAMEF17	NM_001099851.3	NP_001093321.1
PRAMEF20	PRAMEF20	NM_001099852.2	NP_001093322.2
LRRC38	LRRC38	NM_001010847.2	NP_001010847.1
PDPN	PDPN	NM_006474.5	NP_006465.4
PRDM2	PRDM2	NM_001393986.1	NP_001380915.1
KAZN	KAZN	NM_201628.3	NP_963922.2
TMEM51	TMEM51	NM_001136218.2	NP_001129690.1
FHAD1	FHAD1	NM_001391957.1	NP_001378886.1
EFHD2	EFHD2	NM_024329.6	NP_077305.2
CTRC	CTRC	NM_007272.3	NP_009203.2
CELA2A	CELA2A	NM_033440.3	NP_254275.1
CELA2B	CELA2B	NM_015849.3	NP_056933.3
CASP9	CASP9	NM_001229.5	NP_001220.2
DNAJC16	DNAJC16	NM_015291.4	NP_056106.1
AGMAT	AGMAT	NM_024758.5	NP_079034.3
DDI2	DDI2	NM_032341.5	NP_115717.3
RSC1A1	RSC1A1	NM_006511.3	NP_006502.1
PLEKHM2	PLEKHM2	NM_015164.4	NP_055979.2
SLC25A34	SLC25A34	NM_207348.3	NP_997231.1
TMEM82	TMEM82	NM_001013641.3	NP_001013663.1
FBLIM1	FBLIM1	NM_017556.4	NP_060026.2
UQCRHL	UQCRHL	NM_001089591.2	NP_001083060.1
SPEN	SPEN	NM_015001.3	NP_055816.2
ZBTB17	ZBTB17	NM_003443.3	NP_003434.2
SRARP	SRARP	NM_178840.4	NP_849162.1
HSPB7	HSPB7	NM_014424.5	NP_055239.1
CLCNKA	CLCNKA	NM_004070.4	NP_004061.3
CLCNKB	CLCNKB	NM_000085.5	NP_000076.2
FAM131C	FAM131C	NM_182623.3	NP_872429.2
EPHA2	EPHA2	NM_004431.5	NP_004422.2
ARHGEF19	ARHGEF19	NM_153213.5	NP_694945.2
CPLANE2	CPLANE2	NM_030907.4	NP_112169.2
FBXO42	FBXO42	NM_018994.3	NP_061867.1
SZRD1	SZRD1	NM_001114600.3	NP_001108072.1
SPATA21	SPATA21	NM_198546.1	NP_940948.1
NECAP2	NECAP2	NM_018090.5	NP_060560.1
CROCC	CROCC	NM_014675.5	NP_055490.4
MFAP2	MFAP2	NM_002403.4	NP_002394.1
ATP13A2	ATP13A2	NM_022089.4	NP_071372.1
SDHB	SDHB	NM_003000.3	NP_002991.2
PADI2	PADI2	NM_007365.3	NP_031391.2
PADI1	PADI1	NM_013358.3	NP_037490.2
PADI3	PADI3	NM_016233.2	NP_057317.2
PADI4	PADI4	NM_012387.3	NP_036519.2
PADI6	PADI6	NM_207421.4	NP_997304.3
RCC2	RCC2	NM_018715.4	NP_061185.1
ARHGEF10L	ARHGEF10L	NM_018125.4	NP_060595.3
ACTL8	ACTL8	NM_030812.3	NP_110439.2
IGSF21	IGSF21	NM_032880.5	NP_116269.3
KLHDC7A	KLHDC7A	NM_152375.3	NP_689588.2
PAX7	PAX7	NM_001135254.2	NP_001128726.1
TAS1R2	TAS1R2	NM_152232.6	NP_689418.2
ALDH4A1	ALDH4A1	NM_003748.4	NP_003739.2
IFFO2	IFFO2	NM_001136265.2	NP_001129737.1
UBR4	UBR4	NM_020765.3	NP_065816.2
EMC1	EMC1	NM_015047.3	NP_055862.1
MRTO4	MRTO4	NM_016183.4	NP_057267.2
AKR7A3	AKR7A3	NM_012067.3	NP_036199.2
AKR7A2	AKR7A2	NM_003689.4	NP_003680.2
SLC66A1	SLC66A1	NM_001040125.2	NP_001035214.1
CAPZB	CAPZB	NM_004930.5	NP_004921.1
MICOS10	MICOS10	NM_001032363.4	NP_001027535.1
NBL1	NBL1	NM_005380.8	NP_005371.2
HTR6	HTR6	NM_000871.3	NP_000862.1
TMCO4	TMCO4	NM_181719.7	NP_859070.3
RNF186	RNF186	NM_019062.2	NP_061935.1
OTUD3	OTUD3	NM_015207.2	NP_056022.1
PLA2G2E	PLA2G2E	NM_014589.3	NP_055404.1
PLA2G2A	PLA2G2A	NM_001395463.1	NP_001382392.1
PLA2G5	PLA2G5	NM_000929.3	NP_000920.1
PLA2G2D	PLA2G2D	NM_012400.4	NP_036532.1
PLA2G2F	PLA2G2F	NM_022819.4	NP_073730.3
PLA2G2C	PLA2G2C	NM_001367969.2	NP_001354898.1
UBXN10	UBXN10	NM_152376.5	NP_689589.1
VWA5B1	VWA5B1	NM_001039500.3	NP_001034589.2
CAMK2N1	CAMK2N1	NM_018584.6	NP_061054.2
MUL1	MUL1	NM_024544.3	NP_078820.2
FAM43B	FAM43B	NM_207334.3	NP_997217.1
CDA	CDA	NM_001785.3	NP_001776.1
PINK1	PINK1	NM_032409.3	NP_115785.1
DDOST	DDOST	NM_005216.5	NP_005207.3
KIF17	KIF17	NM_001122819.3	NP_001116291.1
SH2D5	SH2D5	NM_001103161.2	NP_001096631.1
HP1BP3	HP1BP3	NM_001372052.1	NP_001358981.1
EIF4G3	EIF4G3	NM_001391906.1	NP_001378835.1
ECE1	ECE1	NM_001397.3	NP_001388.1
NBPF3	NBPF3	NM_032264.6	NP_115640.1
ALPL	ALPL	NM_000478.6	NP_000469.3
RAP1GAP	RAP1GAP	NM_002885.4	NP_002876.2
USP48	USP48	NM_032236.8	NP_115612.4
LDLRAD2	LDLRAD2	NM_001013693.3	NP_001013715.2
HSPG2	HSPG2	NM_005529.7	NP_005520.4
CELA3B	CELA3B	NM_007352.4	NP_031378.1
CELA3A	CELA3A	NM_005747.5	NP_005738.4
CDC42	CDC42	NM_001791.4	NP_001782.1
WNT4	WNT4	NM_030761.5	NP_110388.2
ZBTB40	ZBTB40	NM_014870.4	NP_055685.3
EPHA8	EPHA8	NM_020526.5	NP_065387.1
C1QA	C1QA	NM_015991.4	NP_057075.1
C1QC	C1QC	NM_172369.5	NP_758957.2
C1QB	C1QB	NM_001378156.1	NP_001365085.1
EPHB2	EPHB2	NM_017449.5	NP_059145.2
LACTBL1	LACTBL1	NM_001289974.2	NP_001276903.1
TEX46	TEX46	NM_001242521.2	NP_001229450.1
KDM1A	KDM1A	NM_001009999.3	NP_001009999.1
LUZP1	LUZP1	NM_001395462.2	NP_001382391.1
HTR1D	HTR1D	NM_000864.5	NP_000855.1
HNRNPR	HNRNPR	NM_005826.5	NP_005817.1
ZNF436	ZNF436	NM_001077195.2	NP_001070663.1
TCEA3	TCEA3	NM_003196.3	NP_003187.1
ASAP3	ASAP3	NM_017707.4	NP_060177.2
E2F2	E2F2	NM_004091.4	NP_004082.1
ID3	ID3	NM_002167.5	NP_002158.3
RPL11	RPL11	NM_000975.5	NP_000966.2
ELOA	ELOA	NM_003198.3	NP_003189.3
PITHD1	PITHD1	NM_020362.5	NP_065095.2
LYPLA2	LYPLA2	NM_007260.3	NP_009191.1
GALE	GALE	NM_001008216.2	NP_001008217.1
HMGCL	HMGCL	NM_000191.3	NP_000182.2
FUCA1	FUCA1	NM_000147.5	NP_000138.2
CNR2	CNR2	NM_001841.3	NP_001832.1
PNRC2	PNRC2	NM_017761.4	NP_060231.1
SRSF10	SRSF10	NM_054016.4	NP_473357.1
MYOM3	MYOM3	NM_152372.4	NP_689585.3
IL22RA1	IL22RA1	NM_021258.4	NP_067081.2
IFNLR1	IFNLR1	NM_170743.4	NP_734464.1
GRHL3	GRHL3	NM_198173.3	NP_937816.1
STPG1	STPG1	NM_001199013.2	NP_001185942.1
NIPAL3	NIPAL3	NM_020448.5	NP_065181.1
RCAN3	RCAN3	NM_013441.4	NP_038469.1
NCMAP	NCMAP	NM_001010980.5	NP_001010980.1
SRRM1	SRRM1	NM_005839.4	NP_005830.2
CLIC4	CLIC4	NM_013943.3	NP_039234.1
RUNX3	RUNX3	NM_004350.3	NP_004341.1
SYF2	SYF2	NM_015484.5	NP_056299.1
RSRP1	RSRP1	NM_020317.5	NP_064713.3
RHD	RHD	NM_016124.6	NP_057208.3
TMEM50A	TMEM50A	NM_014313.4	NP_055128.1
RHCE	RHCE	NM_020485.8	NP_065231.4
MACO1	MACO1	NM_018202.6	NP_060672.2
LDLRAP1	LDLRAP1	NM_015627.3	NP_056442.2
MAN1C1	MAN1C1	NM_020379.4	NP_065112.1
SELENON	SELENON	NM_020451.3	NP_065184.2
MTFR1L	MTFR1L	NM_001099625.2	NP_001093095.1
AUNIP	AUNIP	NM_024037.3	NP_076942.1
PAQR7	PAQR7	NM_178422.6	NP_848509.1
STMN1	STMN1	NM_005563.4	NP_005554.1
PAFAH2	PAFAH2	NM_000437.4	NP_000428.2
EXTL1	EXTL1	NM_004455.3	NP_004446.2
SLC30A2	SLC30A2	NM_001004434.3	NP_001004434.1
TRIM63	TRIM63	NM_032588.4	NP_115977.2
PDIK1L	PDIK1L	NM_152835.5	NP_690048.1
FAM110D	FAM110D	NM_024869.3	NP_079145.2
C1orf232	C1orf232	NM_001364669.2	NP_001351598.1
ZNF593OS	ZNF593OS	NM_001395468.1	NP_001382397.1
ZNF593	ZNF593	NM_015871.5	NP_056955.2
CNKSR1	CNKSR1	NM_006314.3	NP_006305.2
CATSPER4	CATSPER4	NM_198137.2	NP_937770.1
CEP85	CEP85	NM_001319944.2	NP_001306873.1
SH3BGRL3	SH3BGRL3	NM_031286.4	NP_112576.1
UBXN11	UBXN11	NM_001389556.1	NP_001376485.1
CD52	CD52	NM_001803.3	NP_001794.2
CRYBG2	CRYBG2	NM_001039775.4	NP_001034864.2
ZNF683	ZNF683	NM_001114759.3	NP_001108231.1
LIN28A	LIN28A	NM_024674.6	NP_078950.1
DHDDS	DHDDS	NM_205861.3	NP_995583.1
HMGN2	HMGN2	NM_005517.4	NP_005508.1
RPS6KA1	RPS6KA1	NM_002953.4	NP_002944.2
ARID1A	ARID1A	NM_006015.6	NP_006006.3
PIGV	PIGV	NM_017837.4	NP_060307.2
ZDHHC18	ZDHHC18	NM_032283.3	NP_115659.1
SFN	SFN	NM_006142.5	NP_006133.1
GPN2	GPN2	NM_018066.4	NP_060536.3
GPATCH3	GPATCH3	NM_022078.3	NP_071361.2
NUDC	NUDC	NM_006600.4	NP_006591.1
NR0B2	NR0B2	NM_021969.3	NP_068804.1
KDF1	KDF1	NM_152365.3	NP_689578.2
TRNP1	TRNP1	NM_001013642.3	NP_001013664.2
TENT5B	TENT5B	NM_052943.4	NP_443175.2
SLC9A1	SLC9A1	NM_003047.5	NP_003038.2
WDTC1	WDTC1	NM_001276252.2	NP_001263181.1
TMEM222	TMEM222	NM_032125.3	NP_115501.2
SYTL1	SYTL1	NM_001193308.2	NP_001180237.1
MAP3K6	MAP3K6	NM_004672.5	NP_004663.3
FCN3	FCN3	NM_003665.4	NP_003656.2
CD164L2	CD164L2	NM_001330448.1	NP_001317377.1
GPR3	GPR3	NM_005281.4	NP_005272.1
WASF2	WASF2	NM_006990.5	NP_008921.1
AHDC1	AHDC1	NM_001371928.1	NP_001358857.1
FGR	FGR	NM_005248.3	NP_005239.1
IFI6	IFI6	NM_002038.4	NP_002029.3
FAM76A	FAM76A	NM_152660.3	NP_689873.1
STX12	STX12	NM_177424.3	NP_803173.1
PPP1R8	PPP1R8	NM_014110.5	NP_054829.2
THEMIS2	THEMIS2	NM_001105556.3	NP_001099026.1
RPA2	RPA2	NM_002946.5	NP_002937.1
SMPDL3B	SMPDL3B	NM_014474.4	NP_055289.2
XKR8	XKR8	NM_018053.4	NP_060523.2
EYA3	EYA3	NM_001990.4	NP_001981.2
PTAFR	PTAFR	NM_000952.5	NP_000943.1
DNAJC8	DNAJC8	NM_014280.3	NP_055095.2
ATP5IF1	ATP5IF1	NM_016311.5	NP_057395.1
SESN2	SESN2	NM_031459.5	NP_113647.1
MED18	MED18	NM_017638.3	NP_060108.2
PHACTR4	PHACTR4	NM_001048183.3	NP_001041648.1
RCC1	RCC1	NM_001381865.2	NP_001368794.1
TRNAU1AP	TRNAU1AP	NM_017846.5	NP_060316.1
RAB42	RAB42	NM_001193532.3	NP_001180461.1
TAF12	TAF12	NM_005644.4	NP_005635.1
GMEB1	GMEB1	NM_001319674.2	NP_001306603.1
YTHDF2	YTHDF2	NM_016258.3	NP_057342.2
OPRD1	OPRD1	NM_000911.4	NP_000902.3
EPB41	EPB41	NM_001376013.1	NP_001362942.1
TMEM200B	TMEM200B	NM_001003682.4	NP_001003682.1
SRSF4	SRSF4	NM_005626.5	NP_005617.2
MECR	MECR	NM_016011.5	NP_057095.4
PTPRU	PTPRU	NM_133178.4	NP_573439.2
MATN1	MATN1	NM_002379.3	NP_002370.1
LAPTM5	LAPTM5	NM_006762.3	NP_006753.1
SDC3	SDC3	NM_014654.4	NP_055469.3
PUM1	PUM1	NM_001020658.2	NP_001018494.1
NKAIN1	NKAIN1	NM_024522.3	NP_078798.2
SNRNP40	SNRNP40	NM_004814.3	NP_004805.2
ZCCHC17	ZCCHC17	NM_016505.4	NP_057589.2
FABP3	FABP3	NM_004102.5	NP_004093.1
SERINC2	SERINC2	NM_178865.5	NP_849196.2
TINAGL1	TINAGL1	NM_022164.3	NP_071447.1
HCRTR1	HCRTR1	NM_001525.3	NP_001516.2
PEF1	PEF1	NM_012392.4	NP_036524.1
COL16A1	COL16A1	NM_001856.4	NP_001847.3
ADGRB2	ADGRB2	NM_001364857.2	NP_001351786.1
SPOCD1	SPOCD1	NM_144569.7	NP_653170.3
PTP4A2	PTP4A2	NM_080391.4	NP_536316.1
LOC128031832	LOC128031832	NM_001414727.1	NP_001401656.1
KHDRBS1	KHDRBS1	NM_006559.3	NP_006550.1
TMEM39B	TMEM39B	NM_018056.4	NP_060526.2
KPNA6	KPNA6	NM_012316.5	NP_036448.1
TXLNA	TXLNA	NM_175852.4	NP_787048.1
CCDC28B	CCDC28B	NM_024296.5	NP_077272.2
IQCC	IQCC	NM_018134.3	NP_060604.2
DCDC2B	DCDC2B	NM_001099434.2	NP_001092904.1
TMEM234	TMEM234	NM_019118.5	NP_061991.3
EIF3I	EIF3I	NM_003757.4	NP_003748.1
FAM167B	FAM167B	NM_032648.3	NP_116037.2
LCK	LCK	NM_005356.5	NP_005347.3
HDAC1	HDAC1	NM_004964.3	NP_004955.2
MARCKSL1	MARCKSL1	NM_023009.7	NP_075385.1
FAM229A	FAM229A	NM_001167676.2	NP_001161148.1
TSSK3	TSSK3	NM_052841.4	NP_443073.1
BSDC1	BSDC1	NM_018045.8	NP_060515.3
ZBTB8B	ZBTB8B	NM_001145720.2	NP_001139192.1
ZBTB8A	ZBTB8A	NM_001040441.3	NP_001035531.2
ZBTB8OS	ZBTB8OS	NM_178547.5	NP_848642.2
RBBP4	RBBP4	NM_005610.3	NP_005601.1
SYNC	SYNC	NM_030786.3	NP_110413.3
KIAA1522	KIAA1522	NM_020888.3	NP_065939.2
YARS1	YARS1	NM_003680.4	NP_003671.1
S100PBP	S100PBP	NM_022753.4	NP_073590.2
FNDC5	FNDC5	NM_153756.3	NP_715637.2
HPCA	HPCA	NM_002143.3	NP_002134.2
TMEM54	TMEM54	NM_033504.4	NP_277039.1
RNF19B	RNF19B	NM_001300826.2	NP_001287755.1
AK2	AK2	NM_001625.4	NP_001616.1
AZIN2	AZIN2	NM_052998.4	NP_443724.1
ZNF362	ZNF362	NM_152493.3	NP_689706.2
TRIM62	TRIM62	NM_018207.3	NP_060677.2
A3GALT2	A3GALT2	NM_001080438.1	NP_001073907.1
PHC2	PHC2	NM_001385109.1	NP_001372038.1
ZSCAN20	ZSCAN20	NM_001377376.1	NP_001364305.1
CSMD2	CSMD2	NM_001281956.2	NP_001268885.1
HMGB4	HMGB4	NM_001379301.1	NP_001366230.1
C1orf94	C1orf94	NM_001134734.2	NP_001128206.1
GJB5	GJB5	NM_005268.4	NP_005259.1
GJB4	GJB4	NM_153212.3	NP_694944.1
GJB3	GJB3	NM_024009.3	NP_076872.1
GJA4	GJA4	NM_002060.3	NP_002051.2
SMIM12	SMIM12	NM_138428.6	NP_612437.3
DLGAP3	DLGAP3	NM_001080418.3	NP_001073887.1
TMEM35B	TMEM35B	NM_001195156.2	NP_001182085.1
ZMYM6	ZMYM6	NM_007167.4	NP_009098.3
ZMYM1	ZMYM1	NM_024772.5	NP_079048.3
SFPQ	SFPQ	NM_005066.3	NP_005057.1
ZMYM4	ZMYM4	NM_005095.3	NP_005086.2
KIAA0319L	KIAA0319L	NM_024874.5	NP_079150.3
NCDN	NCDN	NM_014284.3	NP_055099.1
TFAP2E	TFAP2E	NM_178548.4	NP_848643.2
PSMB2	PSMB2	NM_002794.5	NP_002785.1
C1orf216	C1orf216	NM_152374.2	NP_689587.1
CLSPN	CLSPN	NM_022111.4	NP_071394.2
AGO4	AGO4	NM_017629.4	NP_060099.2
AGO1	AGO1	NM_012199.5	NP_036331.1
AGO3	AGO3	NM_024852.4	NP_079128.2
TEKT2	TEKT2	NM_014466.3	NP_055281.2
ADPRS	ADPRS	NM_017825.3	NP_060295.1
COL8A2	COL8A2	NM_005202.4	NP_005193.1
TRAPPC3	TRAPPC3	NM_014408.5	NP_055223.1
MAP7D1	MAP7D1	NM_001388490.1	NP_001375419.1
