# Created by CAVA ensembl_db 2.0.13 based on Ensembl release 75
#GENEID	SYMBOL	Transcript	Protein
ENSG00000186092	OR4F5	ENST00000335137	ENSP00000334393
ENSG00000169885	CALML6	ENST00000307786	ENSP00000304643
ENSG00000169885	CALML6	ENST00000378604	ENSP00000367867
ENSG00000178821	TMEM52	ENST00000378602	ENSP00000367865
ENSG00000178821	TMEM52	ENST00000310991	ENSP00000311122
ENSG00000142609	C1orf222	ENST00000434971	ENSP00000408078
ENSG00000187730	GABRD	ENST00000378585	ENSP00000367848
ENSG00000067606	PRKCZ	ENST00000378567	ENSP00000367830
ENSG00000067606	PRKCZ	ENST00000400921	ENSP00000383712
ENSG00000067606	PRKCZ	ENST00000461106	ENSP00000426412
ENSG00000067606	PRKCZ	ENST00000400920	ENSP00000383711
ENSG00000162585	C1orf86	ENST00000400919	ENSP00000383710
ENSG00000162585	C1orf86	ENST00000400918	ENSP00000383709
ENSG00000162585	C1orf86	ENST00000378543	ENSP00000367804
ENSG00000162585	C1orf86	ENST00000378546	ENSP00000367808
ENSG00000162585	C1orf86	ENST00000378545	ENSP00000367807
ENSG00000269554	AL590822.2	ENST00000597060	ENSP00000473177
ENSG00000203301	AL590822.1	ENST00000545087	ENSP00000443317
ENSG00000157933	SKI	ENST00000378536	ENSP00000367797
ENSG00000116151	MORN1	ENST00000378531	ENSP00000367792
ENSG00000116151	MORN1	ENST00000378529	ENSP00000367790
ENSG00000157916	RER1	ENST00000378518	ENSP00000367779
ENSG00000157916	RER1	ENST00000605895	ENSP00000475168
ENSG00000157916	RER1	ENST00000378513	ENSP00000367774
ENSG00000157916	RER1	ENST00000378512	ENSP00000367773
ENSG00000157916	RER1	ENST00000488353	ENSP00000464222
ENSG00000157911	PEX10	ENST00000288774	ENSP00000288774
ENSG00000157911	PEX10	ENST00000447513	ENSP00000407922
ENSG00000157911	PEX10	ENST00000507596	ENSP00000424291
ENSG00000149527	PLCH2	ENST00000449969	ENSP00000397289
ENSG00000149527	PLCH2	ENST00000419816	ENSP00000389803
ENSG00000149527	PLCH2	ENST00000378486	ENSP00000367747
ENSG00000149527	PLCH2	ENST00000378488	ENSP00000367749
ENSG00000149527	PLCH2	ENST00000288766	ENSP00000288766
ENSG00000157881	PANK4	ENST00000378466	ENSP00000367727
ENSG00000157881	PANK4	ENST00000435556	ENSP00000421433
ENSG00000197921	HES5	ENST00000378453	ENSP00000367714
ENSG00000157873	TNFRSF14	ENST00000409119	ENSP00000386859
ENSG00000157873	TNFRSF14	ENST00000355716	ENSP00000347948
ENSG00000157870	FAM213B	ENST00000419916	ENSP00000394405
ENSG00000157870	FAM213B	ENST00000378424	ENSP00000367681
ENSG00000157870	FAM213B	ENST00000537325	ENSP00000443605
ENSG00000157870	FAM213B	ENST00000378425	ENSP00000367682
ENSG00000157870	FAM213B	ENST00000444521	ENSP00000413218
ENSG00000142606	MMEL1	ENST00000288709	ENSP00000288709
ENSG00000142606	MMEL1	ENST00000378412	ENSP00000367668
ENSG00000142606	MMEL1	ENST00000502556	ENSP00000422492
ENSG00000215912	TTC34	ENST00000401094	ENSP00000387700
ENSG00000215912	TTC34	ENST00000401095	ENSP00000383873
ENSG00000169717	ACTRT2	ENST00000378404	ENSP00000367658
ENSG00000142611	PRDM16	ENST00000511072	ENSP00000426975
ENSG00000142611	PRDM16	ENST00000378398	ENSP00000367651
ENSG00000142611	PRDM16	ENST00000441472	ENSP00000407968
ENSG00000142611	PRDM16	ENST00000442529	ENSP00000405253
ENSG00000142611	PRDM16	ENST00000378391	ENSP00000367643
ENSG00000142611	PRDM16	ENST00000514189	ENSP00000421400
ENSG00000142611	PRDM16	ENST00000270722	ENSP00000270722
ENSG00000130762	ARHGEF16	ENST00000378378	ENSP00000367629
ENSG00000130762	ARHGEF16	ENST00000378373	ENSP00000367624
ENSG00000130762	ARHGEF16	ENST00000378371	ENSP00000367622
ENSG00000130762	ARHGEF16	ENST00000413250	ENSP00000408887
ENSG00000162591	MEGF6	ENST00000294599	ENSP00000294599
ENSG00000162591	MEGF6	ENST00000356575	ENSP00000348982
ENSG00000158109	TPRG1L	ENST00000378344	ENSP00000367595
ENSG00000158109	TPRG1L	ENST00000344579	ENSP00000339714
ENSG00000116213	WRAP73	ENST00000378322	ENSP00000367573
ENSG00000116213	WRAP73	ENST00000270708	ENSP00000270708
ENSG00000078900	TP73	ENST00000378295	ENSP00000367545
ENSG00000078900	TP73	ENST00000604074	ENSP00000475143
ENSG00000078900	TP73	ENST00000354437	ENSP00000346423
ENSG00000078900	TP73	ENST00000357733	ENSP00000350366
ENSG00000078900	TP73	ENST00000346387	ENSP00000340740
ENSG00000078900	TP73	ENST00000603362	ENSP00000474626
ENSG00000078900	TP73	ENST00000604479	ENSP00000474322
ENSG00000078900	TP73	ENST00000378285	ENSP00000367534
ENSG00000078900	TP73	ENST00000378280	ENSP00000367529
ENSG00000078900	TP73	ENST00000378288	ENSP00000367537
ENSG00000078900	TP73	ENST00000378290	ENSP00000367539
ENSG00000162592	CCDC27	ENST00000294600	ENSP00000294600
ENSG00000235169	SMIM1	ENST00000444870	ENSP00000457386
ENSG00000235169	SMIM1	ENST00000561886	ENSP00000456559
ENSG00000130764	LRRC47	ENST00000378251	ENSP00000367498
ENSG00000116198	CEP104	ENST00000378230	ENSP00000367476
ENSG00000116198	CEP104	ENST00000378223	ENSP00000367468
ENSG00000169598	DFFB	ENST00000378209	ENSP00000367454
ENSG00000169598	DFFB	ENST00000338895	ENSP00000339524
ENSG00000169598	DFFB	ENST00000378212	ENSP00000367457
ENSG00000169598	DFFB	ENST00000341385	ENSP00000345906
ENSG00000198912	C1orf174	ENST00000361605	ENSP00000355306
ENSG00000196581	AJAP1	ENST00000378190	ENSP00000367432
ENSG00000196581	AJAP1	ENST00000378191	ENSP00000367433
ENSG00000131697	NPHP4	ENST00000378156	ENSP00000367398
ENSG00000069424	KCNAB2	ENST00000378111	ENSP00000367351
ENSG00000069424	KCNAB2	ENST00000378097	ENSP00000367337
ENSG00000069424	KCNAB2	ENST00000378092	ENSP00000367332
ENSG00000069424	KCNAB2	ENST00000602612	ENSP00000473602
ENSG00000069424	KCNAB2	ENST00000378087	ENSP00000367327
ENSG00000069424	KCNAB2	ENST00000341524	ENSP00000340824
ENSG00000069424	KCNAB2	ENST00000352527	ENSP00000318772
ENSG00000069424	KCNAB2	ENST00000164247	ENSP00000164247
ENSG00000069424	KCNAB2	ENST00000378083	ENSP00000367323
ENSG00000069424	KCNAB2	ENST00000458166	ENSP00000396167
ENSG00000116254	CHD5	ENST00000262450	ENSP00000262450
ENSG00000116254	CHD5	ENST00000378021	ENSP00000367260
ENSG00000116251	RPL22	ENST00000484532	ENSP00000465763
ENSG00000116251	RPL22	ENST00000234875	ENSP00000346088
ENSG00000116251	RPL22	ENST00000497965	ENSP00000468274
ENSG00000158286	RNF207	ENST00000377948	ENSP00000367183
ENSG00000158286	RNF207	ENST00000377939	ENSP00000367173
ENSG00000116237	ICMT	ENST00000343813	ENSP00000343552
ENSG00000116237	ICMT	ENST00000362035	ENSP00000354894
ENSG00000173673	HES3	ENST00000377898	ENSP00000367130
ENSG00000158292	GPR153	ENST00000377893	ENSP00000367125
ENSG00000097021	ACOT7	ENST00000608083	ENSP00000476610
ENSG00000097021	ACOT7	ENST00000377842	ENSP00000367073
ENSG00000097021	ACOT7	ENST00000377845	ENSP00000367076
ENSG00000097021	ACOT7	ENST00000377855	ENSP00000367086
ENSG00000097021	ACOT7	ENST00000361521	ENSP00000354615
ENSG00000097021	ACOT7	ENST00000545482	ENSP00000439218
ENSG00000097021	ACOT7	ENST00000541130	ENSP00000441872
ENSG00000069812	HES2	ENST00000377837	ENSP00000367068
ENSG00000069812	HES2	ENST00000377836	ENSP00000367067
ENSG00000069812	HES2	ENST00000377834	ENSP00000367065
ENSG00000069812	HES2	ENST00000487437	ENSP00000465248
ENSG00000069812	HES2	ENST00000489730	ENSP00000465270
ENSG00000187017	ESPN	ENST00000377828	ENSP00000367059
ENSG00000187017	ESPN	ENST00000461727	ENSP00000465308
ENSG00000187017	ESPN	ENST00000416731	ENSP00000399239
ENSG00000215788	TNFRSF25	ENST00000377782	ENSP00000367013
ENSG00000215788	TNFRSF25	ENST00000356876	ENSP00000349341
ENSG00000215788	TNFRSF25	ENST00000351959	ENSP00000337713
ENSG00000215788	TNFRSF25	ENST00000351748	ENSP00000326762
ENSG00000215788	TNFRSF25	ENST00000348333	ENSP00000314451
ENSG00000171680	PLEKHG5	ENST00000377748	ENSP00000366977
ENSG00000171680	PLEKHG5	ENST00000340850	ENSP00000344570
ENSG00000171680	PLEKHG5	ENST00000400913	ENSP00000383704
ENSG00000171680	PLEKHG5	ENST00000377725	ENSP00000366954
ENSG00000171680	PLEKHG5	ENST00000377728	ENSP00000366957
ENSG00000171680	PLEKHG5	ENST00000377732	ENSP00000366961
ENSG00000171680	PLEKHG5	ENST00000400915	ENSP00000383706
ENSG00000171680	PLEKHG5	ENST00000377740	ENSP00000366969
ENSG00000171680	PLEKHG5	ENST00000535355	ENSP00000441445
ENSG00000171680	PLEKHG5	ENST00000377737	ENSP00000366966
ENSG00000171680	PLEKHG5	ENST00000537245	ENSP00000439625
ENSG00000171680	PLEKHG5	ENST00000544978	ENSP00000437710
ENSG00000162408	NOL9	ENST00000377705	ENSP00000366934
ENSG00000173662	TAS1R1	ENST00000333172	ENSP00000331867
ENSG00000173662	TAS1R1	ENST00000328191	ENSP00000327705
ENSG00000173662	TAS1R1	ENST00000351136	ENSP00000312558
ENSG00000204859	ZBTB48	ENST00000377674	ENSP00000366902
ENSG00000162413	KLHL21	ENST00000377658	ENSP00000366886
ENSG00000162413	KLHL21	ENST00000377663	ENSP00000366891
ENSG00000162413	KLHL21	ENST00000467612	ENSP00000466089
ENSG00000162413	KLHL21	ENST00000463043	ENSP00000466479
ENSG00000116273	PHF13	ENST00000377648	ENSP00000366876
ENSG00000041988	THAP3	ENST00000054650	ENSP00000054650
ENSG00000041988	THAP3	ENST00000307896	ENSP00000311537
ENSG00000041988	THAP3	ENST00000377627	ENSP00000366854
ENSG00000007923	DNAJC11	ENST00000377577	ENSP00000366800
ENSG00000007923	DNAJC11	ENST00000349363	ENSP00000326304
ENSG00000007923	DNAJC11	ENST00000294401	ENSP00000294401
ENSG00000007923	DNAJC11	ENST00000542246	ENSP00000444020
ENSG00000007923	DNAJC11	ENST00000377573	ENSP00000366796
ENSG00000171735	CAMTA1	ENST00000303635	ENSP00000306522
ENSG00000171735	CAMTA1	ENST00000473578	ENSP00000451388
ENSG00000171735	CAMTA1	ENST00000557126	ENSP00000451510
ENSG00000171735	CAMTA1	ENST00000467404	ENSP00000450530
ENSG00000171735	CAMTA1	ENST00000439411	ENSP00000402561
ENSG00000171735	CAMTA1	ENST00000476864	ENSP00000452319
ENSG00000049245	VAMP3	ENST00000054666	ENSP00000054666
ENSG00000049245	VAMP3	ENST00000470357	ENSP00000465820
ENSG00000049246	PER3	ENST00000377541	ENSP00000366764
ENSG00000049246	PER3	ENST00000377532	ENSP00000366755
ENSG00000049246	PER3	ENST00000361923	ENSP00000355031
ENSG00000049247	UTS2	ENST00000377516	ENSP00000366738
ENSG00000049247	UTS2	ENST00000361696	ENSP00000355163
ENSG00000049247	UTS2	ENST00000054668	ENSP00000054668
ENSG00000049249	TNFRSF9	ENST00000377507	ENSP00000366729
ENSG00000116288	PARK7	ENST00000338639	ENSP00000340278
ENSG00000116288	PARK7	ENST00000493678	ENSP00000418770
ENSG00000116288	PARK7	ENST00000377493	ENSP00000466242
ENSG00000116288	PARK7	ENST00000377491	ENSP00000366711
ENSG00000116288	PARK7	ENST00000377488	ENSP00000366708
ENSG00000116285	ERRFI1	ENST00000474874	ENSP00000466958
ENSG00000116285	ERRFI1	ENST00000377482	ENSP00000366702
ENSG00000116285	ERRFI1	ENST00000467067	ENSP00000465100
ENSG00000116285	ERRFI1	ENST00000469499	ENSP00000466454
ENSG00000162426	SLC45A1	ENST00000471889	ENSP00000418096
ENSG00000162426	SLC45A1	ENST00000377479	ENSP00000366699
ENSG00000162426	SLC45A1	ENST00000289877	ENSP00000289877
ENSG00000142599	RERE	ENST00000337907	ENSP00000338629
ENSG00000142599	RERE	ENST00000377464	ENSP00000366684
ENSG00000142599	RERE	ENST00000400907	ENSP00000383699
ENSG00000142599	RERE	ENST00000476556	ENSP00000422246
ENSG00000142599	RERE	ENST00000400908	ENSP00000383700
ENSG00000074800	ENO1	ENST00000234590	ENSP00000234590
ENSG00000131686	CA6	ENST00000480186	ENSP00000435280
ENSG00000131686	CA6	ENST00000377443	ENSP00000366662
ENSG00000131686	CA6	ENST00000377436	ENSP00000366654
ENSG00000131686	CA6	ENST00000377442	ENSP00000366661
ENSG00000197241	SLC2A7	ENST00000400906	ENSP00000383698
ENSG00000142583	SLC2A5	ENST00000377424	ENSP00000366641
ENSG00000142583	SLC2A5	ENST00000536305	ENSP00000440688
ENSG00000142583	SLC2A5	ENST00000535586	ENSP00000442744
ENSG00000142583	SLC2A5	ENST00000377414	ENSP00000366631
ENSG00000180758	GPR157	ENST00000377411	ENSP00000366628
ENSG00000180758	GPR157	ENST00000414642	ENSP00000411172
ENSG00000049239	H6PD	ENST00000377403	ENSP00000366620
ENSG00000049239	H6PD	ENST00000602477	ENSP00000473348
ENSG00000171621	SPSB1	ENST00000328089	ENSP00000330221
ENSG00000171621	SPSB1	ENST00000357898	ENSP00000350573
ENSG00000171621	SPSB1	ENST00000377399	ENSP00000366616
ENSG00000171612	SLC25A33	ENST00000302692	ENSP00000306328
ENSG00000188807	TMEM201	ENST00000377376	ENSP00000366593
ENSG00000188807	TMEM201	ENST00000340305	ENSP00000344772
ENSG00000188807	TMEM201	ENST00000340381	ENSP00000344503
ENSG00000171608	PIK3CD	ENST00000536656	ENSP00000446444
ENSG00000171608	PIK3CD	ENST00000377346	ENSP00000366563
ENSG00000171608	PIK3CD	ENST00000361110	ENSP00000354410
ENSG00000171608	PIK3CD	ENST00000543390	ENSP00000443811
ENSG00000179840	C1orf200	ENST00000377320	ENSP00000366537
ENSG00000171603	CLSTN1	ENST00000377298	ENSP00000366513
ENSG00000171603	CLSTN1	ENST00000361311	ENSP00000354997
ENSG00000171603	CLSTN1	ENST00000377288	ENSP00000366502
ENSG00000178585	CTNNBIP1	ENST00000377263	ENSP00000366474
ENSG00000178585	CTNNBIP1	ENST00000537447	ENSP00000444681
ENSG00000178585	CTNNBIP1	ENST00000400904	ENSP00000383696
ENSG00000178585	CTNNBIP1	ENST00000377258	ENSP00000366468
ENSG00000178585	CTNNBIP1	ENST00000377256	ENSP00000366466
ENSG00000162441	LZIC	ENST00000377223	ENSP00000366430
ENSG00000162441	LZIC	ENST00000400903	ENSP00000383695
ENSG00000162441	LZIC	ENST00000541052	ENSP00000437432
ENSG00000162441	LZIC	ENST00000377213	ENSP00000366418
ENSG00000173614	NMNAT1	ENST00000403197	ENSP00000385131
ENSG00000173614	NMNAT1	ENST00000377205	ENSP00000366410
ENSG00000162444	RBP7	ENST00000294435	ENSP00000294435
ENSG00000130939	UBE4B	ENST00000253251	ENSP00000253251
ENSG00000130939	UBE4B	ENST00000377157	ENSP00000366362
ENSG00000130939	UBE4B	ENST00000377153	ENSP00000366358
ENSG00000130939	UBE4B	ENST00000343090	ENSP00000343001
ENSG00000054523	KIF1B	ENST00000377093	ENSP00000366297
ENSG00000054523	KIF1B	ENST00000263934	ENSP00000263934
ENSG00000054523	KIF1B	ENST00000377086	ENSP00000366290
ENSG00000054523	KIF1B	ENST00000377083	ENSP00000366287
ENSG00000054523	KIF1B	ENST00000377081	ENSP00000366284
ENSG00000142657	PGD	ENST00000541529	ENSP00000442285
ENSG00000142657	PGD	ENST00000270776	ENSP00000270776
ENSG00000142657	PGD	ENST00000538557	ENSP00000437822
ENSG00000175279	APITD1	ENST00000602787	ENSP00000473509
ENSG00000175279	APITD1	ENST00000602296	ENSP00000473401
ENSG00000175279	APITD1	ENST00000309048	ENSP00000308583
ENSG00000251503	APITD1-CORT	ENST00000400900	ENSP00000383692
ENSG00000251503	APITD1-CORT	ENST00000470413	ENSP00000433615
ENSG00000241563	CORT	ENST00000377049	ENSP00000366248
ENSG00000241563	CORT	ENST00000320498	ENSP00000317110
ENSG00000160049	DFFA	ENST00000377038	ENSP00000366237
ENSG00000160049	DFFA	ENST00000377036	ENSP00000366235
ENSG00000142655	PEX14	ENST00000356607	ENSP00000349016
ENSG00000142655	PEX14	ENST00000538836	ENSP00000444877
ENSG00000130940	CASZ1	ENST00000377022	ENSP00000366221
ENSG00000130940	CASZ1	ENST00000344008	ENSP00000339445
ENSG00000175262	C1orf127	ENST00000377004	ENSP00000366203
ENSG00000175262	C1orf127	ENST00000377008	ENSP00000366207
ENSG00000120948	TARDBP	ENST00000240185	ENSP00000240185
ENSG00000120948	TARDBP	ENST00000439080	ENSP00000404666
ENSG00000120948	TARDBP	ENST00000315091	ENSP00000313129
ENSG00000009724	MASP2	ENST00000400897	ENSP00000383690
ENSG00000009724	MASP2	ENST00000400898	ENSP00000383691
ENSG00000116649	SRM	ENST00000376957	ENSP00000366156
ENSG00000171824	EXOSC10	ENST00000304457	ENSP00000307307
ENSG00000171824	EXOSC10	ENST00000376936	ENSP00000366135
ENSG00000171824	EXOSC10	ENST00000544779	ENSP00000439473
ENSG00000198793	MTOR	ENST00000376838	ENSP00000366034
ENSG00000198793	MTOR	ENST00000361445	ENSP00000354558
ENSG00000171819	ANGPTL7	ENST00000376819	ENSP00000366015
ENSG00000120942	UBIAD1	ENST00000376810	ENSP00000366006
ENSG00000120942	UBIAD1	ENST00000376804	ENSP00000366000
ENSG00000204624	PTCHD2	ENST00000294484	ENSP00000294484
ENSG00000204624	PTCHD2	ENST00000389575	ENSP00000374226
ENSG00000204624	PTCHD2	ENST00000304391	ENSP00000303400
ENSG00000116661	FBXO2	ENST00000354287	ENSP00000346240
ENSG00000132879	FBXO44	ENST00000251546	ENSP00000251546
ENSG00000132879	FBXO44	ENST00000376770	ENSP00000365961
ENSG00000132879	FBXO44	ENST00000376768	ENSP00000365959
ENSG00000132879	FBXO44	ENST00000251547	ENSP00000251547
ENSG00000132879	FBXO44	ENST00000376760	ENSP00000365951
ENSG00000132879	FBXO44	ENST00000376762	ENSP00000365953
ENSG00000116663	FBXO6	ENST00000376753	ENSP00000365944
ENSG00000116670	MAD2L2	ENST00000235310	ENSP00000235310
ENSG00000116670	MAD2L2	ENST00000376692	ENSP00000365882
ENSG00000116670	MAD2L2	ENST00000376672	ENSP00000365860
ENSG00000116670	MAD2L2	ENST00000376669	ENSP00000365857
ENSG00000116670	MAD2L2	ENST00000376667	ENSP00000365855
ENSG00000162490	DRAXIN	ENST00000294485	ENSP00000294485
ENSG00000177674	AGTRAP	ENST00000376637	ENSP00000365824
ENSG00000177674	AGTRAP	ENST00000400895	ENSP00000383688
ENSG00000177674	AGTRAP	ENST00000376629	ENSP00000365816
ENSG00000177674	AGTRAP	ENST00000376627	ENSP00000365814
ENSG00000177674	AGTRAP	ENST00000314340	ENSP00000319713
ENSG00000177674	AGTRAP	ENST00000452018	ENSP00000408505
ENSG00000177674	AGTRAP	ENST00000510878	ENSP00000422647
ENSG00000215910	C1orf167	ENST00000433342	ENSP00000414909
